indicator_to_mo_id,period_strat,fact
159023,2024-07-01,0
158584,2024-06-01,66
158521,2024-06-01,0
158454,2024-06-01,0
158434,2024-06-01,0
158414,2024-06-01,0
158317,2024-06-01,"10,5"
158298,2024-06-01,99
158291,2024-06-01,98
158186,2024-06-01,97
158039,2024-06-01,96
158031,2024-06-01,84
158023,2024-06-01,45
158016,2024-06-01,83
158008,2024-06-01,82
158000,2024-06-01,"98,2"
157986,2024-06-01,"93,43"
157979,2024-06-01,50
157970,2024-06-01,79
157959,2024-06-01,78
157931,2024-06-01,"93,07"
157913,2024-06-01,89
157900,2024-06-01,65
157893,2024-06-01,64
157884,2024-06-01,98
157876,2024-06-01,63
157859,2024-06-01,62
157847,2024-06-01,1
157838,2024-06-01,58
157830,2024-06-01,57
157821,2024-06-01,0
157613,2024-06-01,"89,06"
157599,2024-06-01,0
157577,2024-06-01,54
157473,2024-06-01,53
157406,2024-06-01,48
157393,2024-06-01,47
157378,2024-06-01,46
157369,2024-06-01,"101,578945"
157337,2024-06-01,100
157302,2024-06-01,100
157279,2024-06-01,"82,62"
157123,2024-06-01,"95,555555"
157098,2024-06-01,44
157097,2024-06-01,43
157096,2024-06-01,42
157095,2024-06-01,41
157084,2024-06-01,40
157056,2024-06-01,"89,61"
157005,2024-06-01,38
156969,2024-06-01,37
156957,2024-06-01,50
156942,2024-06-01,0
156915,2024-06-01,"99,12"