indicator_to_mo_id,indicator_id,mo_id
157491,12,7823
157473,8,7822
157464,8,7821
157454,6,7820
157445,1,7819
157436,4,7818
157427,1,7817
157418,3,7816
157406,2,7815
157393,1,7814
157378,1,5697
157369,1,7813
157360,1,7812
157351,1,7811
157337,1,7810
157302,1,7809
157279,1,7808
157261,1,7807
157249,1,7806
157241,1,7805
157232,1,7804
157221,1,7803
157207,1,7802
157195,1,7801
157178,1,7800
157172,1,7799
157123,1,7798
157098,1,7792
157097,1,7794
157096,1,7795
157095,1,7793
157084,1,7797
157072,1,7797
157056,1,7796
157040,1,92
157033,1,7795
157026,1,7794
157019,1,7793
157012,1,7792
157005,1,7791
156994,1,7790
156981,1,7790
156969,1,7789
156957,1,7788
156942,1,3119
156915,1,7787